review_id,facility_id,title,timestamp,rating,reviewtxt
3,1,My Dominos Experience,2024-04-19 00:49:52.337955,5,"Best place to hangout with friends of course if you are hungry...staff is very well behaved and have helped each customer.... Service they provide is a bit delayed but they won't compromise with quality.... If you face any issues they will be happy to resolve.... Overall  they deserve 5 stars for their cleanliness, quality and helpfulness...."
4,1,Dominos - THE GOAT ,2024-04-19 15:36:25.251827,5,"Domino's Pizza is a popular pizza chain known for its delicious and customizable pies
Delivery is fast and reliable, and the company offers a tracking system to monitor the status of your order

Vegetarian options: only Vegetarian pizza available"
5,2,CCD -The Good and Bad,2024-04-19 15:39:59.96885,4,"Compact yet cozy, one or the best place to have alone time working or spending time with friends, nice and helpful staff, also the food availability is kinda good."
6,2,CCD - Almost Perfect,2024-04-19 15:44:18.67993,4,"Great place to hangout with friends, the coffee and drinks are good, but what's really great about this place is the vibe, just the best place to hangout with friends!"
7,3,Subway - Just as expected,2024-04-19 15:47:10.002624,5,Good as any other subway. But veg food only as per university policy. A must try indeed!
8,3,Horrible Experience,2024-04-19 15:49:26.673726,2,"I tried Subway again for the first time in 2 or 3 years today. I remember why I stopped going there. Hard bread, brown lettuce, out of certain toppings and all together poor quality all around. The employees are rude and act like you are bothering them when you go in. Never going there again!"
9,4,Chicago's Finest,2024-04-19 15:55:23.436571,4,Unipolis's top floor and Chicago Pizza's various pizza are the coolest way to spend time with friends and classmates..This place's pizza is good and reasonable. They always keep coming up with many discounts for students..Grab your discount right now.
10,4,Chicago Pizza - A Place to Watch Out For,2024-04-19 15:58:53.992443,4,"Pizza is average, but their Garlic bread is fire. I would certainly recommend their Garlic Bread and Fries combo. The pricing is reasonable and ambience is very good. A great place to hangout with friends!"
11,5,Keventers - An All Time Classic,2024-04-19 16:15:27.385305,4,"Good place to visit for shakes, all types of shakes with hygiene."
12,5,Average Experience At Keventers,2024-04-19 16:18:24.370627,3,"Good place to visit for shakes, all types of shakes with hygiene. The quality of their items are good but everything is a bit expensive, especially for college students, but if you're willing to pay the price it's good, defo worth a shot though."
13,6,Cafe Arabica - Great Dine-in Experience,2024-04-19 16:24:52.233575,5,"A great place to celebrate big occasions, had gone here for my Birthday with a bunch of my friends and had a blast. The food is delicious and the service is great! Altogether had a great time!"
14,6,Decent Dine-in Experience at Arabica,2024-04-19 16:30:27.980635,3,"Nice place to have some dinner with friends, their menu has a nice variety of items and the price is also very affordable."
15,13,N.K - The Old Reliable ,2024-04-19 16:34:21.061695,5,"Best place to eat in the whole campus if you want tasty vegetarian food at a reasonable price ....
One drawback is that in rush hours you will not find a seat inside the restaurant, but otherwise it's no doubt the best spot in the campus."
16,13,N.K - Best Spot in Campus,2024-04-19 16:39:53.070209,4,If you are in university campus and want to try restaurant foods Without moving to town then N.K Food Court is the best option. Especially it’s panner item are all good. One of the good place to give treat to your friend.Prices are also good.
17,14,Kitchenette - Feels like Home,2024-04-19 17:43:13.867716,5,Thankyou very much for the delectable foood . It was nice visiting your restaurant. The table service of your restaurant was very good. The friendly nature of your staff was also so good. It satiates my taste buds. The taste was really very good and the service was very instant I love the way you serve the foods in just no time. Talking about the restaurant the cleanliness was also so well. They were also pocket friendly.
18,14,"Kitchenette - Good Food, Decent Service",2024-04-19 17:45:02.717613,3,"Four star for food but no ac and take too long for the food to prepare
Food: 4/5  |  Service: 2/5  |  Atmosphere: 2/5

Recommended dishes
Aloo Paratha"
19,15,Buzz - Worth the Hype,2024-04-19 17:47:26.073373,4,"The ambience is brilliant, the food is great and defo lives up to the hype. The only issue being the price. But that being said it is definitely worth a try!"
20,15,Buzz- Buzzing with the Food,2024-04-19 17:50:16.792253,5,"A great place to hangout with my friends, had a lot of fun. Talking about the food, the variety is there, they have whatever your craving and it tastes amazing as well. They deliver food to the hostels as well and you can order through their app as well. As most of the people will say the food is a bit pricy but it's definitely worth a try, at least once!"
21,16,Campus Cafe - The name says enough,2024-04-19 17:51:42.901682,4,"Best place and infact famous place in (LPU) Lovely Professional University. It has wide variety of item like - soups, Berger's , Breakfast , Snacks , sandwiches , pizzas, Tandoori , Indian, combos , Freshly baked , Deserts , salads, Chinese , Tea and coffee , continental foods...! This place has gud dinning and live music with loud sound's...!"
22,16,Campus Cafe - The Party Destination,2024-04-19 17:52:47.094492,4,An amazing place to eat with friends and organise small parties. Only this food is a bit costly.
23,17,Canadian Pizza - The Dream Destination,2024-04-19 17:54:05.214638,5,"I love the variety and quality of food at Canadian Pizza, which is located in the Unimall Lovely Professional University campus. They serve yummy pizza straight from their kitchen, ready for you to enjoy. The campus has kiosks for all major cuisines, from south Indian food to African and even Bhutanese. You'll always feel at home at Unimall, which features diverse dining options, ranging from traditional Indian sweets to modern coffee shops. Canadian Pizza is a great place to grab a bite or a drink while you're studying or exploring the campus. The staff is friendly and professional, and the atmosphere is cozy and inviting. I highly recommend Canadian Pizza to anyone visiting Unimall Lovely Professional University. You won't regret it!"
24,17,Canadian Pizza - A Real Competitor,2024-04-19 17:55:36.391588,4,"Omg seriously like what a taste of pizza. And when i ate first time first word came out from my mouth was heaven   😍😋 keep it up guysss

Recommended dishes
Ultimate Pizza"
25,18,TOTT - The Lunch Destination for Students,2024-04-19 17:59:09.032734,4,"The is the most popular lunch destination among students, the rush during peak hours is insane. Their thalis and lunch combos are very popular as they are very affordabe and very tasty as well! There is also seating available."
26,18,TOTT - Too Good,2024-04-19 18:01:18.28633,4,"Their Food is great, combos are great and their service is very fast as well, best place to have Lunch in the campus, no doubt! Nothing more needs to be said, the only issue maybe being it's location, its located in the top floor of the 34 Block"
27,19,Cuplate - The Snack Destination,2024-04-19 20:39:20.761846,3,"If you need any kind of quick bites, this is your place to go. The baked goods are almost always fresh and any kind of cake/pastry is available, there is also an little cute outdoor seating as well. Only problem is, it is closed most of the time."
28,19,Not a Good Experience,2024-04-19 20:40:54.338238,2,Most of the stuff they make is very bland and dosen't taste good. The cakes feel a bit stale and their baked items are also not very good. Not a good experience.
29,20,Goli Vada Pav - Defo Not No. 1 ,2024-04-19 20:43:32.038947,2,"The Vada Pav stall isnt even open for most of the time, and even when it is open, it doesn't taste anything like a Vada Pav. Also a thing to mention, it's worth 40Rs, who the hell would pay for that, well me, but yeah just stick to eating the burgers for 40Rs rather than this, awful really! "
30,20,Average Experience,2024-04-19 21:18:15.689434,3,"The dishes served here are average at best, nothing special about this place, even the pricing done here is a bit absurd."
31,21,Oven Xpress - Best in Town,2024-04-19 21:24:31.152903,5,It serves the best Italian and Chinese Food in the area. The quality of the food is just awesome. The sevice is quick and it has an extremely well furnished interior. The ambience is very well maintained and its very soothing for peaceful time with friends or on a date.
32,21,Oven Xpress - The King of Versatility,2024-04-19 21:26:50.585609,4,"Variety of fast food is available. The taste is good, moderate prices. Mojito, shakes are also available. Must try!"
33,22,American Pizza - The Pizza Palace,2024-04-19 21:28:50.791577,4,One thing that American Pizza never compromises is QUALITY. Absolutely fast service! Must try Corn Rice Bowl with nuggets 😋
34,22,American Pizza - Not just Pizza,2024-04-19 21:30:24.903782,4,"Good quality and various types of Momos available here. I loved them, they were absolutely delish!"
35,23,Street Feast - A Feast Indeed,2024-04-19 21:31:37.60446,4,"This place has some serious yummy options like crunchy kurkure Momo's, burgers are really good and even Wok's. This is behind block 36. Would tell everyone to visit."
36,23,Best Indian - International Fusion Heaven,2024-04-19 21:33:32.664718,5,Amazing food. Had the best momos here! You have to try the kurkure momos. Best indian-international  fusion food ever!!!
37,24,Very Good Service and Quick Delivery,2024-04-19 21:35:20.173155,4,Amazing food. Had the best momos here! You have to try the kurkure momos. Best indian-international  fusion food ever!!!
38,24,"Food- Good, Service - Terrible",2024-04-19 21:36:17.479463,1,"Quality of the food, when it is freshly prepared, is good but if you keep the food for sometime like 1 Hr., it will smell very bad.
I think the oils and the spices they are using are of cheap quality, but they are charging the customers more than the standard charges. Also, the behaviour of the owner of the shop is very rude. He never talks in polite way to the customers.
For regular food, I will never suggest pizza express but within a month, you can give it a try."
39,7,Lovely Sweets - Delectable Delights,2024-04-19 21:38:18.29067,5,Sweets and savouries are famous here..... Their assorted cookie pack is really delicious.... My favorite sweet here is karachi halwa..... One more sweet I like here is gulab halwa..... Mostly all the items are delicious here..... Crowded and should wait for 5-10 mins... Available at an affordable price
40,7,"Great Variety, Terrible Service",2024-04-19 21:40:27.768323,3,"Recently I had bought mysore pak barfi sweets from Lovely sweets located inside Unimall. Sweets are really good BUT I HAD BOUGHT 6 PIECES. AFTER OPENING THE BOX THERE WERE ONLY 4 PIECES. MY FAULT WAS I BELIEVED THEM, SO I DIDN'T CHECK THE BOX AT THE SHOP. THIS IS VERY UNEXPECTED."
41,8,WH Smith - The Get it All Spot,2024-04-19 21:42:21.035735,5,"WH Smith is popular in LPU as it has all accessories which are required for students. It has all payment modes like Card, Paytm, Cash. I can say best place and attractive place located inside Unimall."
42,8,Pointless Store,2024-04-19 21:42:55.800279,2,All useless products available... But nothing required available.
43,9,Wannabuy - The Get It all Spot,2024-04-19 21:44:51.255155,4,A good place for stationary and all essentials that students need/require!
44,9,Horrible Experience,2024-04-19 21:46:06.50041,2,"The store is fine, it has everything you would need from day-to-day, but the customer service is terrible, the cashier was very ill-mannered and doesn't know how to speak politely!"
45,10,All Sports Essentials,2024-04-19 21:47:24.006821,3,"All Sports Enthusiasts can get whatever equipment they need here, but the cost of some items are very high!"
46,11,One of the few Fashion Stores on Campus,2024-04-19 21:49:11.208117,3,"This is one of the only Fashion stores on campus and is average, it has a variety of stuff, useless and usefull but almost everything is too expensive!"
47,12,One of the Best Beauty Parlours in Campus,2024-04-19 21:50:57.805152,4,"The barbers are very friendly and have a good sense of fashion, the pricing is also very affordable about 100Rs per haircut and they are very careful as well!"
48,25,"Very Good, But Very Expensive",2024-04-19 21:51:52.532111,4,"Very good but too expensive.. There are dedicated sections for cross fit training, cardio and strength training. The trainers are good and polite. It gets very crowded during morning and evening times. It contains good selection of machines for isolation workouts. The gym is air conditioned. The male restroom contains sauna and steam bath sections. The cardio comprises of treadmills, hiking machines and cycling. It also has a shop to purchase pre and post workout drinks which is never used."
49,25,Best Gym in Campus,2024-04-19 21:52:54.13685,5,"One of the best gyms I have ever been to. The equipments are world class and trainers are quite helpful. Staff are friendly and listen to you when you have any complaints/queries.  They also have spa facility in which they offer Steam Bath and Sauna Bath. Totally perfect for all types of training, bodybuilding, and wellness. This place gives positive vibes and you feel motivated when you are here."
50,26,Cheap but Ver Crowded,2024-04-19 21:55:21.50514,3,"The machines and equipment they have is very good, even the trainers are good and pay attention to the people, but the only two problems being the crowd and the fact that you can only go to the gym during a particular time slot given to you"
51,27,The Best Gym in the UNI,2024-04-19 21:57:34.634787,5,"Probably the best Gym in the University, most of the equipment they have is new and there are plenty of trainers and they are very friendly, even the pricing is good and according to me it is the Best Gym in the Campus!"
